time,position,velocity,torque,temp_mosfet,temp_rotor,status
1785583353.7539098,-0.23479819943541536,0.0329670329670364,-0.04835164835164818,34,31,ENABLE
1785583353.7588708,-0.23441672388799795,0.0329670329670364,-0.03076923076923066,34,31,ENABLE
1785583353.763858,-0.23441672388799795,0.010989010989014503,-0.0219780219780219,34,31,ENABLE
1785583353.7688289,-0.23403524834058054,0.0549450549450583,-0.01318681318681314,34,31,ENABLE
1785583353.773817,-0.23365377279316313,0.0549450549450583,-0.0219780219780219,34,31,ENABLE
1785583353.7788796,-0.23327229724574572,0.0769230769230802,-0.01318681318681314,34,31,ENABLE
1785583353.7838275,-0.2325093461509109,0.0989010989011021,-0.0219780219780219,34,31,ENABLE
1785583353.7888327,-0.2321278706034935,0.0989010989011021,-0.0219780219780219,34,31,ENABLE
1785583353.7938344,-0.23136491950865867,0.120879120879124,-0.0219780219780219,34,31,ENABLE
1785583353.7988977,-0.23098344396124126,0.120879120879124,-0.01318681318681314,34,31,ENABLE
1785583353.8038254,-0.23022049286640645,0.0989010989011021,-0.00439560439560438,34,31,ENABLE
1785583353.8088276,-0.22945754177157163,0.120879120879124,-0.00439560439560438,34,31,ENABLE
1785583353.813832,-0.22907606622415422,0.120879120879124,-0.00439560439560438,34,31,ENABLE
1785583353.8188295,-0.2283131151293194,0.120879120879124,0.00439560439560438,34,31,ENABLE
1785583353.8238196,-0.22755016403448458,0.1428571428571459,-0.00439560439560438,34,31,ENABLE
1785583353.828824,-0.22678721293964976,0.1428571428571459,0.00439560439560438,34,31,ENABLE
1785583353.833817,-0.22602426184481494,0.1648351648351678,-0.00439560439560438,34,31,ENABLE
1785583353.8388286,-0.2244983596551453,0.2087912087912116,-0.01318681318681314,34,31,ENABLE
1785583353.8438373,-0.2241168841077279,0.120879120879124,-0.01318681318681314,34,31,ENABLE
1785583353.8488257,-0.2237354085603105,0.0769230769230802,0.0219780219780219,34,31,ENABLE
1785583353.8538253,-0.22297245746547567,0.120879120879124,0.04835164835164818,34,31,ENABLE
1785583353.8588252,-0.22182803082322344,0.1428571428571459,0.05714285714285694,34,31,ENABLE
1785583353.8638332,-0.22068360418097122,0.2307692307692335,0.03956043956043942,34,31,ENABLE
1785583353.8688264,-0.2199206530861364,0.1648351648351678,0.03076923076923066,34,31,ENABLE
1785583353.8738484,-0.219539177538719,0.120879120879124,0.04835164835164818,34,31,ENABLE
1785583353.8789194,-0.21877622644388417,0.120879120879124,0.0659340659340657,34,31,ENABLE
1785583353.8838964,-0.21763179980163194,0.1428571428571459,0.08351648351648322,34,31,ENABLE
1785583353.888834,-0.21686884870679712,0.1428571428571459,0.09230769230769198,34,31,ENABLE
1785583353.893816,-0.21648737315937971,0.1428571428571459,0.1098901098901095,34,31,ENABLE
1785583353.8988166,-0.2157244220645449,0.0989010989011021,0.13626373626373578,34,31,ENABLE
1785583353.903827,-0.2153429465171275,0.120879120879124,0.1538461538461533,34,31,ENABLE
1785583353.9088154,-0.21419851987487526,0.1428571428571459,0.17142857142857082,34,31,ENABLE
1785583353.9138145,-0.21305409323262303,0.2307692307692335,0.16263736263736206,34,31,ENABLE
1785583353.918829,-0.2119096665903708,0.2087912087912116,0.14505494505494454,34,31,ENABLE
1785583353.9238303,-0.2115281910429534,0.0989010989011021,0.16263736263736206,34,31,ENABLE
